seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Frances,Watkins,26,Zerubu Turnpike,Zuengob,MA,24596,$1927.56,GREEN,11/21/2003
2,Douglas,Rose,25,Gezja Turnpike,Isotig,IL,10501,$4684.34,WHITE,01/20/1951
3,Jordan,Franklin,29,Rihe Square,Howicun,SD,67695,$9647.81,YELLOW,11/24/2038
4,Tillie,Colon,47,Imori Glen,Rekibicoh,WY,06018,$8818.76,YELLOW,02/14/1994
5,Russell,Howard,54,Jewsek Drive,Lupefumi,OH,77041,$1313.18,GREEN,08/20/1971
6,Dale,Soto,57,Hamko Trail,Okbezdu,LA,57254,$9479.58,BLUE,09/24/2000
7,Gordon,Scott,28,Ofemi Extension,Nazgufer,AL,09857,$9939.44,GREEN,01/01/1998
8,Alfred,Brady,37,Haces Extension,Bibgolul,OH,40602,$1239.64,BLUE,04/07/1950
9,Rachel,Norris,34,Anucoj Junction,Etocini,SC,60786,$4284.40,WHITE,10/11/2017
10,Belle,Colon,56,Furi Path,Idukamu,MS,58766,$5463.26,RED,01/23/1970
11,Ina,Rose,56,Anuzob View,Vigaku,NY,64776,$7455.36,YELLOW,06/23/1911
12,Evelyn,Vasquez,36,Zohmu Loop,Huhmapig,NY,99919,$516.43,WHITE,08/25/1900
13,Victoria,Patrick,19,Hoki Center,Taucte,HI,74302,$6952.17,GREEN,02/13/1999
14,Susan,Ramos,58,Hepmeg Extension,Zuvjilim,SC,52869,$8969.86,GREEN,02/17/1957
15,Etta,Evans,57,Sitfi Junction,Sutbiile,NM,40274,$9561.22,BLUE,09/19/2053
16,Maud,Santos,18,Ubula Key,Loagbo,UT,99942,$8337.15,BLUE,09/27/1988
17,Ronald,Harrison,65,Ceto Street,Ebeecdi,NV,58544,$8727.77,BLUE,08/14/1980
18,Lora,Gibson,33,Noco Square,Lugumle,IA,72904,$2223.55,BLUE,08/20/1941
19,Daisy,Harris,28,Noveb Point,Zerowe,VA,99598,$6909.43,GREEN,08/26/1965
20,Isabelle,Walters,61,Taoki Ridge,Kiobemi,CA,04273,$5676.94,YELLOW,05/23/2069
21,Mamie,Young,27,Wuhge Heights,Corewisun,MI,83852,$5751.66,WHITE,04/13/1998
22,Gerald,Lyons,64,Hoceb Turnpike,Baribdib,NH,37167,$3547.66,RED,10/25/1975
23,Dale,Campbell,54,Giki Court,Ejisatmeb,NE,88985,$7361.88,GREEN,09/30/2023
24,Kate,Patton,22,Agki Junction,Zafkebju,IA,59411,$5527.93,GREEN,09/05/1967
25,Adrian,Todd,38,Fozih Lane,Dokoum,NY,51387,$2767.22,WHITE,02/23/1980
26,Dollie,Richards,40,Sirdi Place,Wamamje,HI,62033,$5032.06,WHITE,12/25/2063
